shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief,route
811/01,551,07:17:00,07:25:00,Gar,11:05:00,Gar,15:47:00,15:50:00,Gar,19:37:00,Gar,19:37:00,12:20:00,07:38:00,04:42:00,70/X28
811/02,552,06:38:00,06:46:00,Gar,10:23:00,Gar,15:17:00,15:20:00,Gar,19:10:00,Gar,19:10:00,12:32:00,07:38:00,04:54:00,X30/39A
811/03,553,14:37:00,14:45:00,Gar,,,,,,20:15:00,Gar,20:15:00,05:38:00,05:38:00,00:00:00,X27
811/04,554,07:00:00,07:08:00,Gar,11:15:00,Gar,16:37:00,16:40:00,Gar,20:00:00,Gar,20:00:00,13:00:00,07:38:00,05:22:00,70
811/05,555,06:42:00,06:50:00,Gar,11:00:00,Gar,16:17:00,16:20:00,Gar,19:37:00,Gar,19:37:00,12:55:00,07:38:00,05:17:00,39X
811/06,556,07:25:00,07:33:00,Gar,11:25:00,Gar,15:57:00,16:00:00,Gar,19:35:00,Gar,19:35:00,12:10:00,07:38:00,04:32:00,38/37
811/07,557,06:27:00,06:35:00,Gar,09:55:00,Gar,15:57:00,16:00:00,Gar,19:15:00,Gar,19:15:00,12:48:00,06:46:00,06:02:00,70D
811/08,558,06:30:00,06:38:00,Gar,10:55:00,Gar,16:27:00,16:30:00,Gar,19:25:00,Gar,19:25:00,12:55:00,07:23:00,05:32:00,X27/P29
811/09,559,06:25:00,06:33:00,Gar,10:40:00,Gar,15:57:00,16:00:00,Gar,19:20:00,Gar,19:20:00,12:55:00,07:38:00,05:17:00,X31
811/10,560,07:00:00,07:08:00,Gar,11:10:00,Gar,16:27:00,16:30:00,Gar,19:55:00,Gar,19:55:00,12:55:00,07:38:00,05:17:00,X31
811/11,561,06:37:00,06:45:00,Gar,10:45:00,Gar,16:27:00,16:30:00,Gar,19:37:00,Gar,19:37:00,13:00:00,07:18:00,05:42:00,33X
811/12,562,06:44:00,06:52:00,Gar,10:20:00,Gar,16:22:00,16:25:00,Gar,19:44:00,Gar,19:44:00,13:00:00,06:58:00,06:02:00,P29/140
811/13,563,07:00:00,07:08:00,Gar,11:10:00,Gar,16:57:00,17:00:00,Gar,20:00:00,Gar,20:00:00,13:00:00,07:13:00,05:47:00,33X
811/14,564,06:42:00,06:50:00,Gar,10:45:00,Gar,16:27:00,16:30:00,Gar,19:42:00,Gar,19:42:00,13:00:00,07:18:00,05:42:00,X27/X30
811/15,565,06:22:00,06:30:00,Gar,10:30:00,Gar,15:57:00,16:00:00,Gar,19:22:00,Gar,19:22:00,13:00:00,07:33:00,05:27:00,33X
811/16,566,06:02:00,06:10:00,Gar,10:13:00,Gar,15:37:00,15:40:00,Gar,19:00:00,Gar,19:00:00,12:58:00,07:34:00,05:24:00,X30
811/17,567,06:57:00,07:05:00,Gar,11:05:00,Gar,16:12:00,16:15:00,Gar,19:42:00,Gar,19:42:00,12:45:00,07:38:00,05:07:00,X32
811/18,568,07:03:00,07:11:00,Gar,11:15:00,Gar,16:27:00,16:30:00,Gar,19:53:00,Gar,19:53:00,12:50:00,07:38:00,05:12:00,X25/X27
811/19,569,06:42:00,06:50:00,Gar,10:25:00,Gar,15:37:00,15:40:00,Gar,19:32:00,Gar,19:32:00,12:50:00,07:38:00,05:12:00,X28/X25
811/20,570,06:57:00,07:05:00,Gar,10:40:00,Gar,16:02:00,16:05:00,Gar,19:57:00,Gar,19:57:00,13:00:00,07:38:00,05:22:00,X25
811/21,571,07:03:00,07:11:00,Gar,10:45:00,Gar,15:52:00,15:55:00,Gar,19:48:00,Gar,19:48:00,12:45:00,07:38:00,05:07:00,X25
811/22,572,05:52:00,06:00:00,Gar,10:10:00,Gar,15:36:00,15:39:00,Gar,18:52:00,Gar,18:52:00,13:00:00,07:34:00,05:26:00,X28/C1
811/23,573,06:07:00,06:15:00,Gar,10:35:00,Gar,15:11:00,15:14:00,Gar,18:21:00,Gar,18:21:00,12:14:00,07:38:00,04:36:00,X26/C1
811/24,574,07:00:00,07:08:00,Gar,10:40:00,Gar,16:02:00,16:05:00,Gar,20:00:00,Gar,20:00:00,13:00:00,07:38:00,05:22:00,15/38A
811/25,575,06:08:00,06:16:00,Gar,10:10:00,Gar,15:17:00,15:20:00,Gar,18:53:00,Gar,18:53:00,12:45:00,07:38:00,05:07:00,X27
811/26,576,06:32:00,06:40:00,Gar,10:45:00,Gar,15:57:00,16:00:00,Gar,19:22:00,Gar,19:22:00,12:50:00,07:38:00,05:12:00,37/38A/39
811/27,577,05:46:00,05:54:00,Gar,09:41:00,Gar,14:37:00,14:40:00,Gar,18:04:00,Gar,18:04:00,12:18:00,07:22:00,04:56:00,E1 (Short)
811/28,578,05:53:00,06:01:00,Gar,09:48:00,Gar,14:52:00,14:55:00,Gar,18:20:00,Gar,18:20:00,12:27:00,07:23:00,05:04:00,E1 (Short)
811/29,579,05:58:00,06:06:00,Gar,09:56:00,Gar,15:07:00,15:10:00,Gar,18:35:00,Gar,18:35:00,12:37:00,07:26:00,05:11:00,E1 (Short)
811/30,580,06:08:00,06:16:00,Gar,10:03:00,Gar,15:22:00,15:25:00,Gar,18:50:00,Gar,18:50:00,12:42:00,07:23:00,05:19:00,E1 (Short)
811/31,581,06:16:00,06:24:00,Gar,10:11:00,Gar,15:37:00,15:40:00,Gar,19:05:00,Gar,19:05:00,12:49:00,07:23:00,05:26:00,E1 (Short)
811/32,582,06:24:00,06:32:00,Gar,10:19:00,Gar,15:52:00,15:55:00,Gar,19:14:00,Gar,19:14:00,12:50:00,07:17:00,05:33:00,E1 (Short)
811/33,583,06:36:00,06:44:00,Gar,10:21:00,Gar,16:07:00,16:10:00,Gar,19:29:00,Gar,19:29:00,12:53:00,07:07:00,05:46:00,E1 (Short)
811/34,584,06:44:00,06:52:00,Gar,10:29:00,Gar,16:22:00,16:25:00,Gar,19:44:00,Gar,19:44:00,13:00:00,07:07:00,05:53:00,E1 (Short)
811/35,585,07:57:00,08:05:00,Gar,10:45:00,Gar,15:42:00,15:45:00,Gar,20:30:00,Gar,20:30:00,12:33:00,07:36:00,04:57:00,38/X25
811/36,586,04:42:00,04:50:00,Gar,,,,,,10:20:00,Gar,10:20:00,05:38:00,05:38:00,00:00:00,39A/37
811/37,587,05:42:00,05:50:00,Gar,,,,,,11:20:00,Gar,11:20:00,05:38:00,05:38:00,00:00:00,X27
811/38,588,14:22:00,14:30:00,Gar,,,,,,20:00:00,Gar,20:00:00,05:38:00,05:38:00,00:00:00,X27
811/39,589,07:02:00,07:10:00,Gar,11:10:00,Gar,15:38:00,15:41:00,Gar,19:08:00,Gar,19:08:00,12:06:00,07:38:00,04:28:00,X30/38A
811/40,590,05:12:00,05:20:00,Gar,,,,,,10:50:00,Gar,10:50:00,05:38:00,05:38:00,00:00:00,38B/X30
811/41,591,06:25:00,06:33:00,Gar,10:10:00,Gar,15:27:00,15:30:00,Gar,19:10:00,Gar,19:10:00,12:45:00,07:28:00,05:17:00,15
811/42,592,05:52:00,06:00:00,Gar,,,,,,11:30:00,Gar,11:30:00,05:38:00,05:38:00,00:00:00,40D/E
