Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
401,05:02,,Reports at 05:02,,,,,,Duty 401 reports at 05:02
401,,05:10:00,Departs Garage,SPL,Reports at 05:02,Departs Garage,,05:10:00,
401,,,Finglas***,Ghost,Departs Garage,Finglas***,,05:25:00,
401,,,"Finglas Bridge, via Finglas Village, Superquinn",,Finglas***,"Finglas Bridge, via Finglas Village, Superquinn",,,
401,,,"17 Stop via Jamestown Rd, Poppintree, Ballymun,",,"Finglas Bridge, via Finglas Village, Superquinn","17 Stop via Jamestown Rd, Poppintree, Ballymun,",,,Takes Bus 12 (Route 9) at 17:21 psqe
401,,,"Ballymun Rd, Route 9 to O'Connell St,",,"17 Stop via Jamestown Rd, Poppintree, Ballymun,","Ballymun Rd, Route 9 to O'Connell St,",,,
401,,,"via, Western Way, Blessington St, Nth Frederick St,",,"Ballymun Rd, Route 9 to O'Connell St,","via, Western Way, Blessington St, Nth Frederick St,",,,
401,,,"Gt Denmark St, Summerhill, O'Connell St,",,"via, Western Way, Blessington St, Nth Frederick St,","Gt Denmark St, Summerhill, O'Connell St,",,,
401,,,"Meet Bus from Skerries at Dorset St,",,"Gt Denmark St, Summerhill, O'Connell St,","Meet Bus from Skerries at Dorset St,",,,
401,,,"Corner of Gardiner St, then to",,"Meet Bus from Skerries at Dorset St,","Corner of Gardiner St, then to",,,
401,,,Phibsboro Garage,,"Corner of Gardiner St, then to",Phibsboro Garage,,,
401,,06:45:00,Departs Garage,SPL,Phibsboro Garage,Departs Garage,,06:45:00,Duty 401 Finished Duty
401,,,Limekiln,9,Departs Garage,Limekiln,,07:35:00,
401,,,Charlestown,9,Limekiln,Charlestown,,09:24:00,
401,,,PSQE,,Charlestown,PSQE,10:04:00,,
401,,,,,,,,,Duty 401 Finished Duty
402,05:32,,Reports at 05:32,,,,,,Duty 402 reports at 05:32
402,,05:40:00,Departs Garage,SPL,Reports at 05:32,Departs Garage,,05:40:00,
402,,,Limekiln,9,Departs Garage,Limekiln,,06:20:00,
402,,,Charlestown,9,Limekiln,Charlestown,,07:45:00,Takes Bus 2 (Route 122) at 18:55 psqw
402,,,Limekiln,9,Charlestown,Limekiln,,09:48:00,
402,,,PSQW,,Limekiln,PSQW,10:43:00,,
402,,,Takes bus 10 (Route 9) at 11:43 PSQW,,,,,,Takes Bus 10 (Route 9) at 11:43 psqw
402,,,Takes up at PSQW 11:43,,,,,,
402,,,PSQW,,Takes up at PSQW 11:43,PSQW,,11:43:00,
402,,,Charlestown,9,PSQW,Charlestown,,12:36:00,
402,,,PSQE,,Charlestown,PSQE,13:16:00,,
402,,,,,,,,,Duty 402 Finished Duty
403,05:37,,Reports at 05:37,,,,,,Duty 403 reports at 05:37
403,,05:45:00,Departs Garage,SPL,Reports at 05:37,Departs Garage,,05:45:00,
403,,,Plunkett Road***,Ghost,Departs Garage,Plunkett Road***,,06:13:00,
403,,,"From Plunkett Rd. to Mellows Rd., Superquinn",,Plunkett Road***,"From Plunkett Rd. to Mellows Rd., Superquinn",,,
403,,,"Finglas Village, left to Jamestown Rd., then",,"From Plunkett Rd. to Mellows Rd., Superquinn","Finglas Village, left to Jamestown Rd., then",,,
403,,,"normal route to D'Olier St, left to Townsend St.",,"Finglas Village, left to Jamestown Rd., then","normal route to D'Olier St, left to Townsend St.",,,
403,,,to Ringsend Garage,,"normal route to D'Olier St, left to Townsend St.",to Ringsend Garage,,,Duty 403 Finished Duty
403,,,Ringsend Garage,,to Ringsend Garage,Ringsend Garage,,06:55:00,
403,,,,SPL,,,,,
403,,,Charlestown,9,Ringsend Garage,Charlestown,,07:55:00,
403,,,Limekiln,9,Charlestown,Limekiln,,10:00:00,
403,,,PSQW,,Limekiln,PSQW,10:55:00,,
403,,,,,,,,,Duty 403 Finished Duty
403,,,,,,,,,Duty 403 Finished Duty
404,05:42,,Reports at 05:42,,,,,,Duty 404 reports at 05:42
404,,05:50:00,Departs Garage,SPL,Reports at 05:42,Departs Garage,,05:50:00,
404,,,Limekiln,9,Departs Garage,Limekiln,,06:35:00,
404,,,Charlestown,9,Limekiln,Charlestown,,08:05:00,
404,,,Limekiln,9,Charlestown,Limekiln,,10:12:00,
404,,,PSQW,,Limekiln,PSQW,11:07:00,,
404,,,,,,,,,Duty 404 Finished Duty
405,05:44,,Reports at 05:44,,,,,,Duty 405 reports at 05:44
405,,05:52:00,Departs Garage,SPL,Reports at 05:44,Departs Garage,,05:52:00,
405,,,Charlestown,9,Departs Garage,Charlestown,,06:25:00,
405,,,Limekiln,9,Charlestown,Limekiln,,07:55:00,
405,,,PSQW,,Limekiln,PSQW,09:05:00,,
405,,,Takes bus 11 (Route 9) at 10:05 PSQW,,,,,,Takes Bus 11 (Route 9) at 10:05 psqw
405,,,Takes up at PSQW 10:05,,,,,,
405,,,PSQW,,Takes up at PSQW 10:05,PSQW,,10:05:00,
405,,,Charlestown,9,PSQW,Charlestown,,10:48:00,
405,,,Limekiln,9,Charlestown,Limekiln,,12:36:00,
405,,,PSQW,,Limekiln,PSQW,13:36:00,,
405,,,,,,,,,Duty 405 Finished Duty
406,05:47,,Reports at 05:47,,,,,,Duty 406 reports at 05:47
406,,05:55:00,Departs Garage,SPL,Reports at 05:47,Departs Garage,,05:55:00,
406,,,Ashington,122,Departs Garage,Ashington,,06:15:00,
406,,,Drimnagh,122,Ashington,Drimnagh,,07:40:00,
406,,,PSQW,,Drimnagh,PSQW,08:35:00,,
406,,,Takes bus 9 (Route 122) at 09:35 PSQW,,,,,,Takes Bus 9 (Route 122) at 09:35 psqw
406,,,Takes up at PSQW 09:35,,,,,,
406,,,PSQW,,Takes up at PSQW 09:35,PSQW,,09:35:00,
406,,,Ashington,122,PSQW,Ashington,,10:20:00,
406,,,Drimnagh,122,Ashington,Drimnagh,,11:50:00,
406,,,PSQW,,Drimnagh,PSQW,12:40:00,,
406,,,,,,,,,Duty 406 Finished Duty
407,,,Takes up at PSQE 11:04,,,,,,
407,,,PSQE,,Takes up at PSQE 11:04,PSQE,,11:04:00,
407,,,Limekiln,9,PSQE,Limekiln,,12:12:00,
407,,,PSQW,,Limekiln,PSQW,13:07:00,,
407,,,,,,,,,Duty 407 Finished Duty
407,05:52,,Reports at 05:52,,,,,,Duty 407 reports at 05:52
407,,06:00:00,Departs Garage,SPL,Reports at 05:52,Departs Garage,,06:00:00,
407,,,Ashington,122,Departs Garage,Ashington,,06:30:00,
407,,,Drimnagh,122,Ashington,Drimnagh,,07:50:00,
407,,,Ashington,SPL,Drimnagh,Ashington,09:30:00,,
407,,,Phibsboro Garage,,Ashington,Phibsboro Garage,09:50:00,,
407,,,Takes bus 18 (Route 9) at 11:04 PSQE,,,,,,Takes Bus 18 (Route 9) at 11:04 psqe
408,05:52,,Reports at 05:52,,,,,,Duty 408 reports at 05:52
408,,06:00:00,Departs Garage,SPL,Reports at 05:52,Departs Garage,,06:00:00,
408,,,Drimnagh,122,Departs Garage,Drimnagh,,06:30:00,
408,,,Ashington,122,Drimnagh,Ashington,,07:45:00,
408,,,Drimnagh,122,Ashington,Drimnagh,,09:20:00,
408,,,Ashington,SPL,Drimnagh,Ashington,10:55:00,,
408,,,Phibsboro Garage,,Ashington,Phibsboro Garage,11:15:00,,
408,,,,,,,,,Duty 408 Finished Duty
409,05:52,,Reports at 05:52,,,,,,Duty 409 reports at 05:52
409,,06:00:00,Departs Garage,SPL,Reports at 05:52,Departs Garage,,06:00:00,
409,,,Charlestown,9,Departs Garage,Charlestown,,06:40:00,
409,,,Limekiln,9,Charlestown,Limekiln,,08:15:00,
409,,,Charlestown,9,Limekiln,Charlestown,,10:12:00,Duty 409 Finished Duty
409,,,PSQE,,Charlestown,PSQE,10:52:00,,
409,,,,,,,,,Duty 409 Finished Duty
410,06:00,,Reports at 06:00,,,,,,Duty 410 reports at 06:00
410,,06:08:00,Departs Garage,SPL,Reports at 06:00,Departs Garage,,06:08:00,
410,,,Limekiln,9,Departs Garage,Limekiln,,06:50:00,
410,,,Charlestown,9,Limekiln,Charlestown,,08:30:00,
410,,,Limekiln,SPL,Charlestown,Limekiln,10:35:00,,
410,,,Phibsboro Garage,,Limekiln,Phibsboro Garage,11:10:00,,
410,,,,,,,,,Duty 410 Finished Duty
411,,,Takes up at PSQE 09:57,,,,,,
411,,,PSQE,,Takes up at PSQE 09:57,PSQE,,09:57:00,
411,,,Limekiln,9,PSQE,Limekiln,,11:00:00,
411,,,Charlestown,9,Limekiln,Charlestown,,12:48:00,
411,,,PSQE,,Charlestown,PSQE,13:33:00,,
411,,,,,,,,,Duty 411 Finished Duty
411,06:02,,Reports at 06:02,,,,,,Duty 411 reports at 06:02
411,,06:10:00,Departs Garage,SPL,Reports at 06:02,Departs Garage,,06:10:00,
411,,,Drimnagh,122,Departs Garage,Drimnagh,,06:45:00,
411,,,Ashington,122,Drimnagh,Ashington,,08:05:00,
411,,,PSQE,,Ashington,PSQE,08:45:00,,
411,,,Takes bus 12 (Route 9) at 09:57 PSQE,,,,,,Takes Bus 12 (Route 9) at 09:57 psqe
412,,,Takes up at PSQE 10:52,,,,,,
412,,,PSQE,,Takes up at PSQE 10:52,PSQE,,10:52:00,
412,,,Limekiln,9,PSQE,Limekiln,,12:00:00,
412,,,Charlestown,9,Limekiln,Charlestown,,13:48:00,Duty 412 Finished Duty
412,,,PSQE,,Charlestown,PSQE,14:28:00,,
412,,,,,,,,,Duty 412 Finished Duty
412,06:07,,Reports at 06:07,,,,,,Duty 412 reports at 06:07
412,,06:15:00,Departs Garage,SPL,Reports at 06:07,Departs Garage,,06:15:00,
412,,,Charlestown,9,Departs Garage,Charlestown,,06:55:00,
412,,,Limekiln,9,Charlestown,Limekiln,,08:45:00,
412,,,PSQW,,Limekiln,PSQW,09:50:00,,
412,,,Takes bus 6 (Route 9) at 10:52 PSQE,,,,,,Takes Bus 6 (Route 9) at 10:52 psqe
413,,,Takes up at PSQE 11:40,,,,,,
413,,,PSQE,,Takes up at PSQE 11:40,PSQE,,11:40:00,
413,,,Limekiln,9,PSQE,Limekiln,,12:48:00,
413,,,Charlestown,9,Limekiln,Charlestown,,14:36:00,
413,,,PSQE,,Charlestown,PSQE,15:16:00,,
413,,,,,,,,,Duty 413 Finished Duty
413,06:12,,Reports at 06:12,,,,,,Duty 413 reports at 06:12
413,,06:20:00,Departs Garage,SPL,Reports at 06:12,Departs Garage,,06:20:00,
413,,,Ashington,122,Departs Garage,Ashington,,06:45:00,
413,,,Drimnagh,122,Ashington,Drimnagh,,08:10:00,
413,,,Ashington,122,Drimnagh,Ashington,,10:00:00,Duty 413 Finished Duty
413,,,PSQE,,Ashington,PSQE,10:40:00,,
413,,,Takes bus 19 (Route 9) at 11:40 PSQE,,,,,,Takes Bus 19 (Route 9) at 11:40 psqe
414,06:12,,Reports at 06:12,,,,,,Duty 414 reports at 06:12
414,,06:20:00,Departs Garage,SPL,Reports at 06:12,Departs Garage,,06:20:00,
414,,,Limekiln,9,Departs Garage,Limekiln,,07:05:00,
414,,,Charlestown,9,Limekiln,Charlestown,,08:45:00,
414,,,Limekiln,9,Charlestown,Limekiln,,10:36:00,
414,,,PSQW,,Limekiln,PSQW,11:31:00,,
414,,,Takes bus 9 (Route 122) at 12:40 PSQW,,,,,,Duty 414 Finished Duty
414,,,Takes up at PSQW 12:40,,,,,,
414,,,PSQW,,Takes up at PSQW 12:40,PSQW,,12:40:00,
414,,,Ashington,122,PSQW,Ashington,,13:20:00,
414,,,Drimnagh,122,Ashington,Drimnagh,,14:50:00,
414,,,PSQW,,Drimnagh,PSQW,15:40:00,,
414,,,,,,,,,Duty 414 Finished Duty
415,,,Takes up at PSQW 12:00,,,,,,
415,,,PSQW,,Takes up at PSQW 12:00,PSQW,,12:00:00,
415,,,Ashington,122,PSQW,Ashington,,12:40:00,
415,,,Drimnagh,122,Ashington,Drimnagh,,14:10:00,
415,,,PSQW,,Drimnagh,PSQW,15:00:00,,
415,,,,,,,,,Duty 415 Finished Duty
415,06:17,,Reports at 06:17,,,,,,Duty 415 reports at 06:17
415,,06:25:00,Departs Garage,SPL,Reports at 06:17,Departs Garage,,06:25:00,
415,,,Drimnagh,122,Departs Garage,Drimnagh,,07:00:00,
415,,,Ashington,122,Drimnagh,Ashington,,08:25:00,
415,,,Drimnagh,122,Ashington,Drimnagh,,10:10:00,
415,,,PSQW,,Drimnagh,PSQW,11:00:00,,
415,,,Takes bus 1 (Route 122) at 12:00 PSQW,,,,,,Takes Bus 1 (Route 122) at 12:00 psqw
416,06:22,,Reports at 06:22,,,,,,Duty 416 reports at 06:22
416,,06:30:00,Departs Garage,SPL,Reports at 06:22,Departs Garage,,06:30:00,
416,,,Limekiln,9,Departs Garage,Limekiln,,07:15:00,
416,,,Charlestown,9,Limekiln,Charlestown,,09:00:00,
416,,,Limekiln,9,Charlestown,Limekiln,,10:48:00,
416,,,PSQW,,Limekiln,PSQW,11:43:00,,
416,,,Takes bus 17 (Route 9) at 12:52 PSQE,,,,,,Takes Bus 17 (Route 9) at 12:52 psqe
416,,,Takes up at PSQE 12:52,,,,,,
416,,,PSQE,,Takes up at PSQE 12:52,PSQE,,12:52:00,
416,,,Limekiln,9,PSQE,Limekiln,,14:00:00,
416,,,PSQW,,Limekiln,PSQW,14:55:00,,
416,,,,,,,,,Duty 416 Finished Duty
417,,,Takes up at PSQW 11:31,,,,,,
417,,,PSQW,,Takes up at PSQW 11:31,PSQW,,11:31:00,
417,,,Charlestown,9,PSQW,Charlestown,,12:24:00,
417,,,Limekiln,9,Charlestown,Limekiln,,14:12:00,
417,,,PSQW,,Limekiln,PSQW,15:07:00,,
417,,,,,,,,,Duty 417 Finished Duty
417,06:27,,Reports at 06:27,,,,,,Duty 417 reports at 06:27
417,,06:35:00,Departs Garage,SPL,Reports at 06:27,Departs Garage,,06:35:00,
417,,,Ashington,122,Departs Garage,Ashington,,07:00:00,
417,,,Drimnagh,122,Ashington,Drimnagh,,08:20:00,
417,,,Ashington,SPL,Drimnagh,Ashington,09:59:00,,
417,,,Phibsboro Garage,,Ashington,Phibsboro Garage,10:19:00,,
417,,,Takes bus 9 (Route 9) at 11:31 PSQW,,,,,,Takes Bus 9 (Route 9) at 11:31 psqw
418,,,Takes up at PSQW 11:07,,,,,,
418,,,PSQW,,Takes up at PSQW 11:07,PSQW,,11:07:00,
418,,,Charlestown,9,PSQW,Charlestown,,12:00:00,
418,,,Limekiln,9,Charlestown,Limekiln,,13:48:00,
418,,,PSQW,,Limekiln,PSQW,14:38:00,,
418,,,,,,,,,Duty 418 Finished Duty
418,06:27,,Reports at 06:27,,,,,,Duty 418 reports at 06:27
418,,06:35:00,Departs Garage,SPL,Reports at 06:27,Departs Garage,,06:35:00,
418,,,Charlestown,9,Departs Garage,Charlestown,,07:10:00,
418,,,Limekiln,9,Charlestown,Limekiln,,09:00:00,
418,,,PSQW,,Limekiln,PSQW,10:05:00,,
418,,,Takes bus 4 (Route 9) at 11:07 PSQW,,,,,,Duty 418 Finished Duty
419,,,Takes up at PSQW 09:05,,,,,,
419,,,PSQW,,Takes up at PSQW 09:05,PSQW,,09:05:00,
419,,,Charlestown,9,PSQW,Charlestown,,09:48:00,
419,,,Limekiln,9,Charlestown,Limekiln,,11:36:00,
419,,,Charlestown,9,Limekiln,Charlestown,,13:24:00,
419,,,PSQE,,Charlestown,PSQE,14:04:00,,
419,,,,,,,,,Duty 419 Finished Duty
419,06:32,,Reports at 06:32,,,,,,Duty 419 reports at 06:32
419,,06:40:00,Departs Garage,SPL,Reports at 06:32,Departs Garage,,06:40:00,
419,,,Drimnagh,122,Departs Garage,Drimnagh,,07:15:00,
419,,,PSQW,,Drimnagh,PSQW,08:05:00,,
419,,,Takes bus 5 (Route 9) at 09:05 PSQW,,,,,,Takes Bus 5 (Route 9) at 09:05 psqw
420,06:32,,Reports at 06:32,,,,,,Duty 420 reports at 06:32
420,,06:40:00,Departs Garage,SPL,Reports at 06:32,Departs Garage,,06:40:00,
420,,,Limekiln,9,Departs Garage,Limekiln,,07:25:00,
420,,,Charlestown,9,Limekiln,Charlestown,,09:12:00,
420,,,PSQE,,Charlestown,PSQE,09:57:00,,
420,,,Takes bus 6 (Route 122) at 11:00 PSQW,,,,,,Takes Bus 6 (Route 122) at 11:00 psqw
420,,,,,,,,,Duty 420 Finished Duty
420,,,Takes up at PSQW 11:00,,,,,,
420,,,PSQW,,Takes up at PSQW 11:00,PSQW,,11:00:00,
420,,,Ashington,122,PSQW,Ashington,,11:40:00,
420,,,Drimnagh,122,Ashington,Drimnagh,,13:10:00,
420,,,Ashington,122,Drimnagh,Ashington,,14:40:00,
420,,,PSQE,,Ashington,PSQE,15:15:00,,
420,,,,,,,,,Duty 420 Finished Duty
421,,,Takes up at PSQE 10:40,,,,,,
421,,,PSQE,,Takes up at PSQE 10:40,PSQE,,10:40:00,
421,,,Drimnagh,122,PSQE,Drimnagh,,11:30:00,
421,,,Ashington,122,Drimnagh,Ashington,,13:00:00,
421,,,Drimnagh,122,Ashington,Drimnagh,,14:30:00,
421,,,PSQW,,Drimnagh,PSQW,15:20:00,,
421,,,,,,,,,Duty 421 Finished Duty
421,06:37,,Reports at 06:37,,,,,,Duty 421 reports at 06:37
421,,06:45:00,Departs Garage,SPL,Reports at 06:37,Departs Garage,,06:45:00,
421,,,Ashington,122,Departs Garage,Ashington,,07:15:00,
421,,,Drimnagh,122,Ashington,Drimnagh,,08:35:00,
421,,,PSQW,,Drimnagh,PSQW,09:35:00,,
421,,,Takes bus 5 (Route 122) at 10:40 PSQE,,,,,,Takes Bus 5 (Route 122) at 10:40 psqe
422,,,Takes up at PSQE 13:16,,,,,,
422,,,PSQE,,Takes up at PSQE 13:16,PSQE,,13:16:00,
422,,,Limekiln,9,PSQE,Limekiln,,14:24:00,Duty 422 Finished Duty
422,,,PSQW,,Limekiln,PSQW,15:19:00,,
422,,,,,,,,,Duty 422 Finished Duty
422,,,Phibsboro (007),ROUTE 9,PSQW,Phibsboro (007),,,
422,06:42,,Reports at 06:42,,,,,,Duty 422 reports at 06:42
422,,06:50:00,Departs Garage,SPL,Reports at 06:42,Departs Garage,,06:50:00,
422,,,Charlestown,9,Departs Garage,Charlestown,,07:25:00,
422,,,Limekiln,9,Charlestown,Limekiln,,09:24:00,
422,,,Charlestown,9,Limekiln,Charlestown,,11:12:00,
422,,,PSQE,,Charlestown,PSQE,11:52:00,,
422,,,Takes bus 10 (Route 9) at 13:16 PSQE,,,,,,Takes Bus 10 (Route 9) at 13:16 psqe
423,,,Takes up at PSQE 11:40,,,,,,
423,,,PSQE,,Takes up at PSQE 11:40,PSQE,,11:40:00,
423,,,Drimnagh,122,PSQE,Drimnagh,,12:30:00,
423,,,Ashington,122,Drimnagh,Ashington,,14:00:00,
423,,,Drimnagh,122,Ashington,Drimnagh,,15:40:00,
423,,,PSQW,,Drimnagh,PSQW,16:30:00,,
423,,,Takes bus 2 (Route 9) at 17:55 PSQW,,,,,,Takes Bus 2 (Route 9) at 17:55 psqw
424,,,Takes up at PSQW 17:23,,,,,,Duty 424 takes up at 17:23
424,,,PSQW,,Takes up at PSQW 17:23,PSQW,,17:23:00,
424,,,Ashington,122,PSQW,Ashington,,18:10:00,
424,,,Takes up at PSQW 11:40,,,,,,
424,,,PSQW,,Takes up at PSQW 11:40,PSQW,,11:40:00,
424,,,Ashington,122,PSQW,Ashington,,12:20:00,
424,,,Drimnagh,122,Ashington,Drimnagh,,13:50:00,
424,,,Ashington,122,Drimnagh,Ashington,,15:34:00,
424,,,PSQE,,Ashington,PSQE,16:09:00,,
